schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Hugging Face Space (bonsai-image-webgpu),https://huggingface.co/spaces/webml-community/bonsai-image-webgpu,webml-community,FREE,2026-08-29T05:31:24.006908+00:00
1.0,PRODUCT,Hugging Face Space (libreoffice-converter),https://huggingface.co/spaces/pandeypratham/libreoffice-converter,pandeypratham,FREE,2026-08-29T05:31:24.007014+00:00
1.0,PRODUCT,Hugging Face Space (ideogram4),https://huggingface.co/spaces/ideogram-ai/ideogram4,ideogram-ai,FREE,2026-08-29T05:31:24.007132+00:00
1.0,PRODUCT,Hugging Face Space (FireRed-ImageEdit-Japanese),https://huggingface.co/spaces/someone-in-the-world/FireRed-ImageEdit-Japanese,someone-in-the-world,FREE,2026-08-29T05:31:24.007303+00:00
1.0,PRODUCT,Hugging Face Space (jawbreaker),https://huggingface.co/spaces/build-small-hackathon/jawbreaker,build-small-hackathon,FREE,2026-08-29T05:31:24.007459+00:00
1.0,PRODUCT,Hugging Face Space (quranic-asr-leaderboard),https://huggingface.co/spaces/Quran-Lab/quranic-asr-leaderboard,Quran-Lab,FREE,2026-08-29T05:31:24.007572+00:00
1.0,PRODUCT,Hugging Face Space (North-Mini-Code-1.0),https://huggingface.co/spaces/CohereLabs/North-Mini-Code-1.0,Cohere,FREE,2026-08-29T05:31:24.007656+00:00
1.0,PRODUCT,Hugging Face Space (Gemma4-31b-uncensored-assistant),https://huggingface.co/spaces/jickman125/Gemma4-31b-uncensored-assistant,jickman125,FREE,2026-08-29T05:31:24.007752+00:00
1.0,PRODUCT,Hugging Face Space (small-talk),https://huggingface.co/spaces/build-small-hackathon/small-talk,build-small-hackathon,FREE,2026-08-29T05:31:24.007879+00:00
1.0,PRODUCT,Hugging Face Space (neural-doom),https://huggingface.co/spaces/Quazim0t0/neural-doom,Quazim0t0,FREE,2026-08-29T05:31:24.007969+00:00
1.0,PRODUCT,Hugging Face Space (semantique),https://huggingface.co/spaces/build-small-hackathon/semantique,build-small-hackathon,FREE,2026-08-29T05:31:24.008089+00:00
1.0,PRODUCT,Hugging Face Space (gipformer-demo),https://huggingface.co/spaces/g-group-ai-lab/gipformer-demo,g-group-ai-lab,FREE,2026-08-29T05:31:24.008191+00:00
1.0,PRODUCT,Hugging Face Space (blog),https://huggingface.co/spaces/Glint-Research/blog,Glint-Research,FREE,2026-08-29T05:31:24.008295+00:00
1.0,PRODUCT,Hugging Face Space (Concept-Segmentation),https://huggingface.co/spaces/Alirezakzt/Concept-Segmentation,Alirezakzt,FREE,2026-08-29T05:31:24.008388+00:00
1.0,PRODUCT,Hugging Face Space (NanoMaestro-Realtime),https://huggingface.co/spaces/utkucoban/NanoMaestro-Realtime,utkucoban,FREE,2026-08-29T05:31:24.008480+00:00
1.0,PRODUCT,Hugging Face Space (meccog-dashboard),https://huggingface.co/spaces/MecCogAgenticChallenge/meccog-dashboard,MecCogAgenticChallenge,FREE,2026-08-29T05:31:24.008622+00:00
1.0,PRODUCT,Hugging Face Space (wan22variant),https://huggingface.co/spaces/raubatz/wan22variant,raubatz,FREE,2026-08-29T05:31:24.008716+00:00
1.0,PRODUCT,Hugging Face Space (bifrost),https://huggingface.co/spaces/shanghsin/bifrost,shanghsin,FREE,2026-08-29T05:31:24.008812+00:00
1.0,PRODUCT,Hugging Face Space (hf-realtime-voice),https://huggingface.co/spaces/smolagents/hf-realtime-voice,smolagents,FREE,2026-08-29T05:31:24.008904+00:00
1.0,PRODUCT,Hugging Face Space (wan2.2_wip),https://huggingface.co/spaces/zsaxcdssdf/wan2.2_wip,zsaxcdssdf,FREE,2026-08-29T05:31:24.008989+00:00
1.0,PRODUCT,Hugging Face Space (DaisyChain-Web),https://huggingface.co/spaces/Quazim0t0/DaisyChain-Web,Quazim0t0,FREE,2026-08-29T05:31:24.009078+00:00
1.0,PRODUCT,Hugging Face Space (llm_leaderboard_uk),https://huggingface.co/spaces/MINTSYFRAGOVUA/llm_leaderboard_uk,MINTSYFRAGOVUA,FREE,2026-08-29T05:31:24.009182+00:00
1.0,PRODUCT,Hugging Face Space (muscriptor-studio-suite),https://huggingface.co/spaces/fffiloni/muscriptor-studio-suite,fffiloni,FREE,2026-08-29T05:31:24.009325+00:00
1.0,PRODUCT,Hugging Face Space (krea2-outpaint),https://huggingface.co/spaces/yijunwang2/krea2-outpaint,yijunwang2,FREE,2026-08-29T05:31:24.009416+00:00
1.0,PRODUCT,Hugging Face Space (BenchLabs-Leaderboard),https://huggingface.co/spaces/bench-labs/BenchLabs-Leaderboard,bench-labs,FREE,2026-08-29T05:31:24.009503+00:00
1.0,PRODUCT,Hugging Face Space (r3gm_wan2-2-fp8da-aoti-preview-2c),https://huggingface.co/spaces/cinderholm/r3gm_wan2-2-fp8da-aoti-preview-2c,cinderholm,FREE,2026-08-29T05:31:24.009589+00:00
1.0,PRODUCT,Hugging Face Space (Inflect-v2),https://huggingface.co/spaces/owensong/Inflect-v2,owensong,FREE,2026-08-29T05:31:24.009676+00:00
1.0,PRODUCT,Hugging Face Space (Umamusume-Models-VITS),https://huggingface.co/spaces/Plana-Archive/Umamusume-Models-VITS,Plana-Archive,FREE,2026-08-29T05:31:24.009765+00:00
1.0,PRODUCT,Hugging Face Space (rl-environments-101-slides),https://huggingface.co/spaces/AdithyaSK/rl-environments-101-slides,AdithyaSK,FREE,2026-08-29T05:31:24.009851+00:00
1.0,PRODUCT,Hugging Face Space (finetune-studio),https://huggingface.co/spaces/qgallouedec/finetune-studio,qgallouedec,FREE,2026-08-29T05:31:24.009939+00:00
1.0,PRODUCT,Hugging Face Space (pii-detection),https://huggingface.co/spaces/LiquidAI/pii-detection,LiquidAI,FREE,2026-08-29T05:31:24.010025+00:00
1.0,PRODUCT,Hugging Face Space (prompt-routing),https://huggingface.co/spaces/LiquidAI/prompt-routing,LiquidAI,FREE,2026-08-29T05:31:24.010104+00:00
1.0,PRODUCT,Hugging Face Space (gpt-image-2-artifact-cleaner),https://huggingface.co/spaces/larryvrh/gpt-image-2-artifact-cleaner,larryvrh,FREE,2026-08-29T05:31:24.010190+00:00
1.0,PRODUCT,Hugging Face Space (ltx2-relight-lora-demo),https://huggingface.co/spaces/Lightricks/ltx2-relight-lora-demo,Lightricks,FREE,2026-08-29T05:31:24.010273+00:00
1.0,PRODUCT,Hugging Face Space (mobilewan-t2v),https://huggingface.co/spaces/Qualcomm-AI-Research/mobilewan-t2v,Qualcomm-AI-Research,FREE,2026-08-29T05:31:24.010396+00:00
1.0,PRODUCT,Hugging Face Space (rfmsr-super-resolution),https://huggingface.co/spaces/hugging-apps/rfmsr-super-resolution,hugging-apps,FREE,2026-08-29T05:31:24.010504+00:00
1.0,PRODUCT,Hugging Face Space (look_whos_talking),https://huggingface.co/spaces/EryriLabs/look_whos_talking,EryriLabs,FREE,2026-08-29T05:31:24.010623+00:00
1.0,PRODUCT,Hugging Face Space (minimax-h3-prompt-studio),https://huggingface.co/spaces/Tandemdevil/minimax-h3-prompt-studio,Tandemdevil,FREE,2026-08-29T05:31:24.010728+00:00
1.0,PRODUCT,Hugging Face Space (jdopensource-joyai-video-edit),https://huggingface.co/spaces/hugging-apps/jdopensource-joyai-video-edit,hugging-apps,FREE,2026-08-29T05:31:24.010815+00:00
1.0,PRODUCT,Hugging Face Space (bl-images-search),https://huggingface.co/spaces/davanstrien/bl-images-search,davanstrien,FREE,2026-08-29T05:31:24.010902+00:00
1.0,PRODUCT,Hugging Face Space (lfm-serving),https://huggingface.co/spaces/leminhhung0101/lfm-serving,leminhhung0101,FREE,2026-08-29T05:31:24.010997+00:00
1.0,PRODUCT,Hugging Face Space (minimax-h3-i2v-r2v-nvfp4-cn),https://huggingface.co/spaces/ramu23/minimax-h3-i2v-r2v-nvfp4-cn,ramu23,FREE,2026-08-29T05:31:24.011093+00:00
1.0,PRODUCT,Hugging Face Space (Wan_Animate_2_motion_transfer_V2V),https://huggingface.co/spaces/brnawy2/Wan_Animate_2_motion_transfer_V2V,brnawy2,FREE,2026-08-29T05:31:24.011180+00:00
1.0,PRODUCT,Hugging Face Space (LTX-2.5-workflow),https://huggingface.co/spaces/akhaliq/LTX-2.5-workflow,akhaliq,FREE,2026-08-29T05:31:24.011268+00:00
1.0,PRODUCT,Hugging Face Space (spotsound-temporal-grounding),https://huggingface.co/spaces/Loie/spotsound-temporal-grounding,Loie,FREE,2026-08-29T05:31:24.011371+00:00
1.0,PRODUCT,Hugging Face Space (MiniMax-Music3-workflow),https://huggingface.co/spaces/MiniMaxAI/MiniMax-Music3-workflow,xAI,FREE,2026-08-29T05:31:24.011437+00:00
1.0,PRODUCT,Hugging Face Space (ltx-2-5-pixel-video-upscaler),https://huggingface.co/spaces/Virwirl/ltx-2-5-pixel-video-upscaler,Virwirl,FREE,2026-08-29T05:31:24.011524+00:00
1.0,PRODUCT,Hugging Face Space (reachy-mini-text-to-motion),https://huggingface.co/spaces/pollen-robotics/reachy-mini-text-to-motion,pollen-robotics,FREE,2026-08-29T05:31:24.011624+00:00
1.0,PRODUCT,Hugging Face Space (gliner25-span-attributes),https://huggingface.co/spaces/fastino/gliner25-span-attributes,fastino,FREE,2026-08-29T05:31:24.011711+00:00
1.0,PRODUCT,Hugging Face Space (qwen3.8-27b-uncensored-chat),https://huggingface.co/spaces/MicroHERO/qwen3.8-27b-uncensored-chat,MicroHERO,FREE,2026-08-29T05:31:24.011800+00:00
1.0,PRODUCT,Hugging Face Space (DFM-Mimir-Demo),https://huggingface.co/spaces/peter-sk/DFM-Mimir-Demo,peter-sk,FREE,2026-08-29T05:31:24.011904+00:00
1.0,PRODUCT,Hugging Face Space (navidc-ocr-demo),https://huggingface.co/spaces/StarDoc-AI/navidc-ocr-demo,StarDoc-AI,FREE,2026-08-29T05:31:24.011988+00:00
1.0,PRODUCT,Hugging Face Space (MiniMax-H3-Turbo-Loras),https://huggingface.co/spaces/AlexSinHF/MiniMax-H3-Turbo-Loras,Hugging Face,FREE,2026-08-29T05:31:24.012063+00:00
1.0,PRODUCT,Hugging Face Space (coinve-edit-demo),https://huggingface.co/spaces/FireCRT/coinve-edit-demo,FireCRT,FREE,2026-08-29T05:31:24.012223+00:00
1.0,PRODUCT,Hugging Face Space (s1-mini-webgpu),https://huggingface.co/spaces/webml-community/s1-mini-webgpu,webml-community,FREE,2026-08-29T05:31:24.012406+00:00
1.0,PRODUCT,Hugging Face Space (tinycast-forecaster),https://huggingface.co/spaces/hugging-apps/tinycast-forecaster,hugging-apps,FREE,2026-08-29T05:31:24.012598+00:00
1.0,PRODUCT,Hugging Face Space (MiniCoder-1-Inference),https://huggingface.co/spaces/ml-intern-explorers/MiniCoder-1-Inference,ml-intern-explorers,FREE,2026-08-29T05:31:24.012737+00:00
1.0,PRODUCT,Hugging Face Space (ForgeryVCR-Demo),https://huggingface.co/spaces/youqiwong/ForgeryVCR-Demo,youqiwong,FREE,2026-08-29T05:31:24.012839+00:00
1.0,PRODUCT,Hugging Face Space (watermarking-playground),https://huggingface.co/spaces/nohypeai/watermarking-playground,nohypeai,FREE,2026-08-29T05:31:24.012934+00:00
1.0,PRODUCT,Hugging Face Space (tlive-omni-4b-demo),https://huggingface.co/spaces/hugging-apps/tlive-omni-4b-demo,hugging-apps,FREE,2026-08-29T05:31:24.013025+00:00
1.0,PRODUCT,Hugging Face Space (argus-security-console),https://huggingface.co/spaces/Werea-co/argus-security-console,Werea-co,FREE,2026-08-29T05:31:24.013113+00:00
1.0,PRODUCT,Hugging Face Space (Aura_veo),https://huggingface.co/spaces/harma-boutique-2026/Aura_veo,harma-boutique-2026,FREE,2026-08-29T05:31:24.013224+00:00
1.0,PRODUCT,Hugging Face Space (contragand-demo),https://huggingface.co/spaces/TomMoeras/contragand-demo,TomMoeras,FREE,2026-08-29T05:31:24.013309+00:00
1.0,PRODUCT,Hugging Face Space (booper-chat),https://huggingface.co/spaces/ProCreations/booper-chat,ProCreations,FREE,2026-08-29T05:31:24.013398+00:00
1.0,PRODUCT,Hugging Face Space (form-field-v1-leaderboard),https://huggingface.co/spaces/nutrientdocs/form-field-v1-leaderboard,nutrientdocs,FREE,2026-08-29T05:31:24.013485+00:00
1.0,PRODUCT,Hugging Face Space (Sillage),https://huggingface.co/spaces/riscoss/Sillage,riscoss,FREE,2026-08-29T05:31:24.013572+00:00
1.0,PRODUCT,Hugging Face Space (Algorithmic-MIDI-Melody-Harmonizer),https://huggingface.co/spaces/projectlosangeles/Algorithmic-MIDI-Melody-Harmonizer,projectlosangeles,FREE,2026-08-29T05:31:24.013684+00:00
1.0,PRODUCT,Hugging Face Space (aimotive-multimodal-demo),https://huggingface.co/spaces/harpreetsahota/aimotive-multimodal-demo,harpreetsahota,FREE,2026-08-29T05:31:24.013779+00:00
1.0,PRODUCT,Hugging Face Space (qwen3-8-flash-next-demo),https://huggingface.co/spaces/bored10/qwen3-8-flash-next-demo,bored10,FREE,2026-08-29T05:31:24.013861+00:00
1.0,PRODUCT,Hugging Face Space (LeRobot_Partner_Release_Guide),https://huggingface.co/spaces/imstevenpmwork/LeRobot_Partner_Release_Guide,imstevenpmwork,FREE,2026-08-29T05:31:24.013955+00:00
1.0,PRODUCT,Hugging Face Space (egodex-fiftyone),https://huggingface.co/spaces/harpreetsahota/egodex-fiftyone,harpreetsahota,FREE,2026-08-29T05:31:24.014045+00:00
1.0,PRODUCT,Hugging Face Space (Website-Summarizer),https://huggingface.co/spaces/adarshzolekar/Website-Summarizer,adarshzolekar,FREE,2026-08-29T05:31:24.014141+00:00
1.0,PRODUCT,Hugging Face Space (AI-Code-Reviewer),https://huggingface.co/spaces/adarshzolekar/AI-Code-Reviewer,adarshzolekar,FREE,2026-08-29T05:31:24.014223+00:00
1.0,PRODUCT,Hugging Face Space (GLM-5.3),https://huggingface.co/spaces/akhaliq/GLM-5.3,akhaliq,FREE,2026-08-29T05:31:24.014320+00:00
1.0,PRODUCT,Hugging Face Space (qwen-image-edit-rapid-aio-nsfw-static),https://huggingface.co/spaces/Gameyguy/qwen-image-edit-rapid-aio-nsfw-static,Gameyguy,FREE,2026-08-29T05:31:24.014411+00:00
1.0,PRODUCT,Hugging Face Space (Wan_2.2_I2V_14B-Custom-Lora),https://huggingface.co/spaces/amisima/Wan_2.2_I2V_14B-Custom-Lora,amisima,FREE,2026-08-29T05:31:24.014497+00:00
1.0,PRODUCT,Hugging Face Space (open-materials-challenge),https://huggingface.co/spaces/FINAL-Bench/open-materials-challenge,FINAL-Bench,FREE,2026-08-29T05:31:24.014583+00:00
