schemaVersion,recordType,source.name,source.url,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27409v1,Consolidating RLVR Capabilities Across Domains: A Deep Dive into Fusion Paradigms,"[""Siye Wu"", ""Kai Yang"", ""Yuchen Cai"", ""Xin Xu"", ""Peng-Yuan Wang"", ""Jiaxuan Wang"", ""Jiashun Liu"", ""Jiafei Lyu"", ""Yangkun Chen"", ""Saiyong Yang"", ""Yanghua Xiao""]",http://arxiv.org/abs/2608.27409v1,,,2026-08-27T17:38:04Z,2026-08-29T05:31:21.700543+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27406v1,CLAP: Cross-Embodiment Video World Models are Zero-Shot Physical Simulators,"[""Kechen Liu"", ""Ola Shorinwa""]",http://arxiv.org/abs/2608.27406v1,,,2026-08-27T17:35:10Z,2026-08-29T05:31:21.700556+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27402v1,How Language Models Organize and Structure Moral Knowledge,"[""Orion Reblitz-Richardson""]",http://arxiv.org/abs/2608.27402v1,https://github.com/deepsteer/deepsteer,3,2026-08-27T17:30:30Z,2026-08-29T05:31:21.700567+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27397v1,Making Clinical Language Models Auditable: Concept-Guided Fine-Tuning for Robust Prediction,"[""Jin Mu"", ""Guanhua Chen""]",http://arxiv.org/abs/2608.27397v1,,,2026-08-27T17:28:35Z,2026-08-29T05:31:21.700579+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27395v1,LeVJEPA: Efficient & Scalable Video Pretraining without the Heuristics,"[""Lukas Kuhn"", ""Lucas Maes"", ""Giuseppe Serra"", ""Quentin Le Lidec"", ""Yann LeCun"", ""Randall Balestriero"", ""Florian Buettner""]",http://arxiv.org/abs/2608.27395v1,,,2026-08-27T17:26:24Z,2026-08-29T05:31:21.700592+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27394v1,RATIO: A Benchmark for Retrieval Across Typed Ideation Operations in Scientific Literature,"[""Maayan Sharon"", ""Tom Hope""]",http://arxiv.org/abs/2608.27394v1,,,2026-08-27T17:24:58Z,2026-08-29T05:31:21.700603+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27392v1,Property-Specific Recoverability from Contact PPG to Camera rPPG under Heterogeneous Observation Conditions,"[""Timothy Oladunni"", ""Farouk Ganiyu-Adewumi""]",http://arxiv.org/abs/2608.27392v1,,,2026-08-27T17:23:14Z,2026-08-29T05:31:21.700615+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27391v1,CorporateBench: Large-Scale Q&A Benchmarking with Temporal Knowledge Bases,"[""Sil Hamilton"", ""Albert Yu Sun"", ""Oscar J. Romero"", ""Carl-Leander Henneking"", ""David Mimno"", ""Bishan Yang"", ""Igor Labutov""]",http://arxiv.org/abs/2608.27391v1,,,2026-08-27T17:23:04Z,2026-08-29T05:31:21.700627+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27382v1,Token-Level Advertising,"[""Hanbing Liu"", ""Bowei Zhang"", ""Changyuan Yu"", ""Yinyu Ye"", ""Qi Qi""]",http://arxiv.org/abs/2608.27382v1,,,2026-08-27T17:18:27Z,2026-08-29T05:31:21.700639+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27380v1,D2C-Routing: Dimension-to-Composition Evidence Routing for Mixed-Origin AI-Generated Text Detection,"[""Xin Chen"", ""Fuwei Zhang"", ""Yiqi Tong"", ""Wei Guo"", ""Yutian Xiao"", ""Fuzhen Zhuang""]",http://arxiv.org/abs/2608.27380v1,https://github.com/bystander563/d2c-routing-artifact,,2026-08-27T17:17:27Z,2026-08-29T05:31:21.700652+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27372v1,Universality and sharp thresholds for ellipsoid fitting,"[""Frederic Koehler"", ""Youngtak Sohn""]",http://arxiv.org/abs/2608.27372v1,,,2026-08-27T17:09:38Z,2026-08-29T05:31:21.700664+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27370v1,Puro-2B: Poor Lab's Qwen2-1.5B Trained on RTX 5090 within $5090,"[""Kairong Luo"", ""Jiarui Cui"", ""Yaorui Yin"", ""Shengqi Chen"", ""Yiming Yang"", ""Linxiang Gao"", ""Yanmohan Wang"", ""Mingzhe Zhang"", ""Kaiyue Wen"", ""Kaifeng Lyu"", ""Wenguang Chen""]",http://arxiv.org/abs/2608.27370v1,,,2026-08-27T17:07:12Z,2026-08-29T05:31:21.700676+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27367v1,Successive Capacity Growth: Task-Complexity-Driven Width and Depth Expansion for Vision Transformer Encoders in JEPA World Models,"[""Frederik Berenz""]",http://arxiv.org/abs/2608.27367v1,,,2026-08-27T17:04:57Z,2026-08-29T05:31:21.700687+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27366v1,Stageboost: Recommending Signals Based on Counterfactual Estimation,"[""Darpan Singhal"", ""Matan Mandelbrod"", ""Tal Franji"", ""Manasa Kolla"", ""Vipul Gaba"", ""Yuri Brovman""]",http://arxiv.org/abs/2608.27366v1,,,2026-08-27T17:04:45Z,2026-08-29T05:31:21.700699+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27365v1,KnockGS:interaction-Grounded Calibrationof Physical Gaussian Representations,"[""Chenchen Ge"", ""Hanwen Shen"", ""Bowen Jing"", ""Jiyuan Cai"", ""Xiaofeng Wang"", ""Hongsen Lei"", ""Weitao Zhou"", ""Dandan Zhang"", ""Haibao Yu""]",http://arxiv.org/abs/2608.27365v1,,,2026-08-27T17:03:38Z,2026-08-29T05:31:21.700711+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27364v1,Sophistication in GenAI Use: Field Evidence from a Large Firm,"[""Nicholas J. Hallman"", ""Zachary T. Kowaleski"", ""Anu Puvvada"", ""Jaime J. Schmidt""]",http://arxiv.org/abs/2608.27364v1,,,2026-08-27T17:03:10Z,2026-08-29T05:31:21.700722+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27360v1,Your Voice Cloning System is Secretly a Voice Anonymizer,"[""Romolo Muletta"", ""Felix Matthias Saaro"", ""Mark Cieliebak"", ""Jan Deriu""]",http://arxiv.org/abs/2608.27360v1,https://github.com/rm00cr/coqui-tts,0,2026-08-27T16:59:58Z,2026-08-29T05:31:21.700736+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27358v1,RCMN: Understanding Misleadingness in Influential Public Discourse,"[""Peiling Yi""]",http://arxiv.org/abs/2608.27358v1,,,2026-08-27T16:57:40Z,2026-08-29T05:31:21.700749+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27351v1,Understanding Evolution Strategies for LLM Reasoning: Broader Reasoning Coverage than GRPO,"[""Yunpeng Ba"", ""Zhi Zheng"", ""Yue Xie"", ""Jiaqing Li"", ""Xialiang Tong"", ""Tao Zhong"", ""Mingxuan Yuan"", ""Zhichao Lu"", ""Xuyang Wu"", ""Zhenkun Wang""]",http://arxiv.org/abs/2608.27351v1,,,2026-08-27T16:48:39Z,2026-08-29T05:31:21.700765+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27348v1,INTENT-AS-A-TOOL Makes it Easy to Track Agentic Misalignment,"[""Yutong Zhang"", ""Jianshuo Dong"", ""Peng Xu"", ""Long Wang"", ""Jie Zhang"", ""Tianwei Zhang"", ""Xiaoping Zhang"", ""Han Qiu""]",http://arxiv.org/abs/2608.27348v1,https://github.com/RebeccaZhang22/intent-as-a-tool,2,2026-08-27T16:47:19Z,2026-08-29T05:31:21.700780+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27345v1,PAWBench: How Far Are We from Probabilistically Aligned World Modeling?,"[""Yuandong Pu"", ""Le Zhuo"", ""Sayak Paul"", ""Gabriel Jorge Menezes"", ""Avram \u0110or\u0111evi\u0107"", ""Shiyang Li"", ""Yifan Zhou"", ""Bin Fu"", ""Wenlong Zhang"", ""Junjun He"", ""Yu Qiao"", ""Yihao Liu"", ""Jingbo Xing"", ""Xi Chen""]",http://arxiv.org/abs/2608.27345v1,,,2026-08-27T16:46:38Z,2026-08-29T05:31:21.700793+00:00
1.0,RESEARCH_PAPER,arxiv.org,http://arxiv.org/abs/2608.27343v1,Pair-Level Essay-Scale Republication and Reuse from Fragmented Historical Text Reuse: A Workflow Study on Eighteenth-Century Books and Newspapers,"[""Ke Shu"", ""Kira Hinderks"", ""Eetu M\u00e4kel\u00e4"", ""Mikko Tolonen""]",http://arxiv.org/abs/2608.27343v1,,,2026-08-27T16:43:27Z,2026-08-29T05:31:21.700805+00:00
